名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
エコノス,札幌ア,小売業,小売 ,3918,-33,-79,-71,2886,453,210,1373,361,15.7,-14.52,-2.38,859398
ニチリョク,東証JQS,小売業,小売 ,3919,231,124,91,11571,3744,1306,6572,3215,32.4,2.44,0.79,13741014
日本PCサービス,名古屋セ,サービス業,情報通信・サービスその他 ,3925,-79,-75,-187,1033,178,188,576,885,17.2,-105.06,-18.1,1427700
大和重工,東証2部,鉄鋼,鉄鋼・非鉄 ,3931,-6,98,95,6383,3289,651,1550,1915,51.5,2.89,1.44,13580000
ニックス,東証JQS,化学,素材・化学 ,3950,113,127,102,4791,2888,468,524,2785,60.3,3.53,2.09,2323000
フュートレック,東証2部,サービス業,情報通信・サービスその他 ,3957,325,325,161,5426,3273,716,1327,8557,60.3,5.03,2.96,9476200
アドバンテッジリスクマネジメント,東証2部,保険業,金融（除く銀行） ,3964,629,630,424,4157,2103,283,170,19847,50.6,22.17,11.88,17080400
ハイアス・アンド・カンパニー,マザーズ,サービス業,情報通信・サービスその他 ,3971,301,303,185,1905,1131,356,13,6868,59.4,18.11,10.75,7449300
串カツ田中,マザーズ,小売業,小売 ,3972,316,408,258,3476,1852,565,886,18322,53.3,21.93,9.36,3008600
麻生フオームクリート,東証JQS,建設業,建設・資材 ,3984,129,143,148,3570,1500,209,552,1334,42,10.28,4.08,3420000
ソフィアホールディングス,東証JQS,情報・通信業,情報通信・サービスその他 ,3990,169,151,23,2410,43,2108,1083,4610,1.8,73.02,0.97,22377200
日本製麻,東証2部,卸売業,商社・卸売 ,3992,259,262,119,3780,1305,100,906,1620,34.5,9.52,3.14,3673320
エヌ・ピー・シー,マザーズ,機械,機械 ,3996,116,81,-122,10611,5078,2812,1500,4852,47.9,-2.36,-1.18,22052426
インターワークス,東証1部,サービス業,情報通信・サービスその他 ,4000,881,882,583,3150,2528,171,1,10567,80.3,24.87,19.72,9784000
エボラブルアジア,東証1部,サービス業,情報通信・サービスその他 ,4000,618,571,340,4841,2277,1019,331,41463,47,25.96,9.85,16889400
テイン,東証JQS,輸送用機器,自動車・輸送機 ,4020,332,318,194,5589,2931,217,1553,3506,52.4,6.71,3.57,6652250
